"oxygen_consumption" "region" "water_temp"
112.2 "South" 28.23
115.2 "North" 29.21
117.1 "North" 23.12
128.5 "West" 23.95
72.6 "East" 25.82
113.3 "North" 23.82
79.9 "North" 26.55
128.7 "West" 25.34
102.4 "North" 28.76
112.1 "South" 25.29
120.2 "South" 28.93
88.7 "East" 27.75
57 "North" 25.66
88.5 "East" 22.23
123.8 "West" 27.63
133.5 "North" 28.25
112.7 "South" 23.53
85.1 "West" 27.01
101.9 "South" 27.57
97.3 "South" 20.69
91.2 "South" 26
93.9 "West" 26.81
112.3 "South" 27.49
98.7 "South" 28.16
100.6 "West" 22.53
109.6 "North" 25.79
115.2 "North" 23.54
89.1 "East" 26.89
179 "East" 27.74
102.7 "North" 29.12
101 "South" 28.41
91.6 "North" 20.26
100.8 "West" 23.59
103.5 "West" 26.39
93.9 "West" 22.51
85.6 "West" 20.52
153.8 "West" 26.84
81 "West" 21.49
110.5 "East" 22.78
92.5 "South" 23.09
99.7 "West" 21.48
107.9 "West" 26.94
168.8 "East" 27.11
120.9 "East" 24.21
70.2 "North" 28.57
122.2 "West" 26.32
106.7 "South" 29.01
122.4 "West" 23.78
108.1 "West" 27.2
125 "East" 21.75
130.8 "West" 28.97
72.9 "North" 21.3
144.8 "North" 26.87
122.8 "West" 28.67
104.7 "West" 29.89
112.7 "East" 28.95
67.4 "North" 20.35
102.9 "South" 27.61
152.5 "North" 25.01
134.5 "North" 28.86
113.8 "North" 26.83
97.1 "South" 29.89
106.2 "South" 22.18
53.2 "North" 20.56
120.2 "East" 25.81
103.9 "North" 25.66
121.1 "North" 28.47
116.5 "South" 27.57
119.1 "West" 21.56
104.7 "North" 24.08
128.9 "East" 22.26
121.7 "North" 24.75
118.6 "West" 25.57
119.5 "East" 28.04
83.7 "North" 28.11
86.7 "South" 24.01
80.3 "South" 26.67
108.1 "North" 20.71
51.9 "East" 22.45
148.4 "West" 29.93
107.1 "North" 27.12
101 "West" 28.2
106.6 "South" 22.86
109.5 "East" 29.86
123.3 "North" 20.03
70 "North" 23.16
144.1 "East" 27.4
174.9 "East" 29.85
134.8 "South" 26.55
130.9 "North" 22.43
135.9 "North" 27.58
85.1 "North" 26.26
149.4 "East" 26.99
140.7 "North" 29.17
69.3 "West" 22.75
85.5 "East" 29.15
98.4 "West" 28.6
105.6 "North" 25.43
86.6 "South" 22.57
131.9 "West" 24.75
107.9 "West" 29.33
88.6 "South" 22.45
119.7 "North" 25.53
102.9 "West" 28.8
75.5 "North" 24.71
92.5 "West" 24.7
106.8 "West" 25.1
86.8 "South" 21.35
73.5 "East" 25.95
119.6 "South" 27.65
81.1 "East" 24.66
65.1 "South" 22.76
140.8 "East" 26.77
119.1 "West" 24.2
113.6 "North" 23.99
115.7 "South" 27.07
79.3 "North" 27.31
135.3 "West" 28.02
131.6 "North" 29.11
103.3 "South" 22.68
113.8 "South" 27.5
121.7 "West" 23.73
57.3 "East" 24.13
105.2 "East" 23.43
104.9 "North" 23.55
131.4 "West" 26.26
171 "East" 24.87
83 "West" 20.19
136.8 "East" 25.35
91.2 "North" 20.66
96.5 "West" 24.75
103.3 "East" 22.55
98.9 "East" 23.03
103 "East" 22.35
104.2 "North" 25.31
92.9 "West" 27.22
86.7 "West" 21.8
141.5 "East" 28.31
106.4 "South" 25.86
96.9 "South" 27.82
94.6 "North" 28.63
126 "East" 23.75
94.7 "South" 29.14
112 "East" 21.26
107 "North" 28.72
