"success" "territory_quality" "experience"
1 8.5 "Experienced"
0 3.9 "First"
1 7.1 "Experienced"
0 7.3 "First"
0 5.1 "Experienced"
0 7.3 "First"
0 4.7 "First"
0 3.7 "First"
1 8.9 "First"
1 2.1 "Experienced"
1 9.1 "Experienced"
1 9.6 "Experienced"
1 7.3 "Experienced"
1 5.6 "Experienced"
1 5 "Experienced"
1 8.6 "Experienced"
0 2 "Experienced"
1 8.8 "Experienced"
0 2.2 "First"
0 3.7 "First"
0 1.4 "First"
0 2 "Experienced"
1 7.1 "First"
1 8.6 "Experienced"
1 8.2 "First"
1 3.6 "Experienced"
0 6.5 "Experienced"
1 8.3 "Experienced"
1 1 "Experienced"
0 1.2 "First"
1 5 "First"
0 3.6 "First"
1 2.6 "Experienced"
1 9.8 "Experienced"
0 7.1 "First"
1 7.1 "Experienced"
1 1.5 "Experienced"
0 9.7 "First"
0 1.2 "Experienced"
1 6.8 "Experienced"
1 8.9 "Experienced"
1 9.2 "Experienced"
0 6.6 "First"
0 4.5 "Experienced"
1 8.7 "Experienced"
0 5 "First"
1 4.7 "Experienced"
0 3.5 "First"
1 6.9 "Experienced"
1 6.9 "Experienced"
0 1.6 "Experienced"
1 7.7 "Experienced"
0 5.1 "First"
1 5.4 "Experienced"
1 7.8 "First"
0 7.4 "First"
1 1.2 "Experienced"
0 2.7 "Experienced"
1 5.1 "First"
0 3.5 "First"
0 1.7 "Experienced"
0 4.8 "Experienced"
0 4.4 "Experienced"
1 6.8 "Experienced"
1 3.8 "Experienced"
0 8.3 "Experienced"
1 9 "Experienced"
1 7.5 "First"
0 3.8 "Experienced"
1 3.6 "First"
1 6.9 "Experienced"
0 2.8 "Experienced"
1 6.7 "Experienced"
1 5 "Experienced"
0 3.8 "Experienced"
0 7.4 "Experienced"
1 3.6 "Experienced"
1 1.3 "Experienced"
0 7 "First"
1 3 "Experienced"
0 2.7 "Experienced"
1 3.2 "Experienced"
0 5.5 "Experienced"
0 1.2 "First"
1 7.2 "Experienced"
0 5.3 "Experienced"
1 9.8 "Experienced"
1 3.8 "Experienced"
0 2 "First"
1 8.7 "First"
1 6 "Experienced"
1 9.2 "Experienced"
1 6.7 "Experienced"
0 1.4 "Experienced"
1 7.7 "First"
0 2.6 "Experienced"
1 7.6 "First"
1 5.6 "Experienced"
1 9.8 "Experienced"
0 6.1 "First"
1 3.6 "First"
1 7 "Experienced"
1 3 "Experienced"
1 5.8 "Experienced"
1 3.3 "Experienced"
1 8.4 "Experienced"
0 2.4 "First"
0 1.6 "First"
0 3.2 "First"
1 8.2 "Experienced"
0 1.7 "First"
1 6.6 "First"
1 8.3 "First"
0 1.8 "First"
1 4.6 "Experienced"
1 9.1 "Experienced"
1 8.6 "First"
0 2.5 "First"
0 5.4 "First"
0 3.3 "Experienced"
1 9.5 "Experienced"
0 1.6 "First"
1 8.2 "Experienced"
0 2.1 "First"
0 7.3 "First"
0 1.1 "Experienced"
0 6.1 "First"
1 8.3 "First"
1 9.6 "Experienced"
1 10 "First"
0 5 "Experienced"
1 1.1 "Experienced"
0 1.2 "First"
0 5 "Experienced"
1 7.9 "Experienced"
1 7.1 "Experienced"
1 7.2 "Experienced"
0 1.8 "First"
0 1.2 "First"
1 6.4 "Experienced"
0 8.8 "First"
0 4.2 "First"
0 2 "Experienced"
0 5.2 "First"
1 6.5 "Experienced"
1 10 "Experienced"
0 5.8 "First"
0 3.3 "First"
1 6.2 "Experienced"
0 4.4 "Experienced"
1 4.4 "Experienced"
0 5 "First"
1 9.3 "Experienced"
0 2.6 "First"
1 7.8 "Experienced"
1 4.9 "Experienced"
0 2.3 "First"
0 1.1 "First"
0 5.6 "First"
1 2.5 "First"
0 2 "Experienced"
0 7.9 "First"
1 8.6 "First"
1 2.5 "First"
1 8.3 "Experienced"
1 8.2 "Experienced"
0 1.4 "Experienced"
1 6.6 "Experienced"
0 6 "First"
1 4.5 "Experienced"
1 8.8 "First"
1 7.4 "Experienced"
0 4.8 "First"
1 8.3 "First"
0 4.6 "Experienced"
1 6.7 "Experienced"
1 4.6 "First"
0 1.1 "First"
1 8.1 "Experienced"
0 6.2 "First"
