"sex" "drought" "length"
"Male" 1 214
"Female" 3 191
"Male" 3 217
"Male" 2 223
"Female" 4 181
"Male" 2 236
"Female" 0 207
"Female" 4 173
"Male" 2 222
"Female" 1 183
"Male" 2 231
"Male" 3 225
"Male" 0 214
"Female" 4 185
"Female" 3 199
"Male" 7 195
"Female" 2 189
"Male" 1 224
"Female" 5 188
"Female" 3 176
"Female" 5 175
"Female" 3 181
"Male" 0 238
"Male" 4 217
"Male" 1 206
"Female" 4 172
"Female" 3 176
"Male" 7 196
"Female" 3 199
"Female" 2 214
"Female" 4 188
"Female" 2 202
"Female" 3 189
"Male" 2 209
"Male" 5 210
"Male" 1 225
"Female" 1 207
"Male" 2 216
"Female" 4 172
"Female" 1 183
"Male" 3 228
"Male" 4 204
"Female" 1 196
"Female" 2 186
"Male" 5 188
"Female" 5 199
"Female" 1 201
"Female" 3 185
"Female" 2 201
"Female" 6 173
"Female" 1 193
"Male" 4 198
"Female" 1 194
"Female" 4 177
"Male" 0 232
"Male" 3 206
"Female" 4 173
"Female" 6 170
"Female" 8 173
"Female" 3 178
"Female" 0 201
"Female" 0 193
"Female" 3 188
"Female" 4 201
"Female" 4 175
"Male" 4 199
"Male" 1 232
"Male" 0 235
"Female" 3 185
"Female" 5 185
"Female" 2 179
