"temperature" "offspring"
28 221
4 252
21 255
21 220
11 250
22 185
9 257
4 239
29 204
-5 199
31 168
33 183
22 239
13 227
10 266
28 185
-5 233
29 254
-4 210
3 222
-8 236
-5 241
21 219
28 221
26 172
3 234
18 292
27 233
-10 235
-9 268
10 266
3 284
-2 275
34 166
20 230
21 299
-8 257
33 177
-9 128
19 245
29 194
31 179
18 248
8 315
28 205
10 262
9 309
3 247
19 216
19 240
-7 172
23 257
10 328
12 247
24 244
22 209
-9 222
-1 259
11 295
3 296
-7 229
9 284
7 252
19 256
4 268
27 227
30 181
22 212
4 283
3 288
19 225
-1 227
18 254
10 244
4 229
22 240
3 290
-8 258
20 249
0 288
-1 261
1 322
12 204
-9 216
21 242
12 235
34 207
4 291
-5 201
29 180
15 254
31 227
18 252
-8 199
24 233
-2 226
23 138
13 275
34 212
16 268
3 274
20 214
0 283
14 234
2 301
27 211
-3 237
-7 224
1 260
26 207
-7 237
18 232
27 226
-6 268
8 283
31 194
28 194
-2 242
12 261
2 254
32 184
-7 226
26 182
-5 238
22 256
-9 257
16 281
27 180
33 257
35 184
10 269
-9 183
-9 221
10 314
24 221
21 258
21 219
-6 236
-9 169
17 248
29 198
6 279
-5 197
11 253
18 229
35 217
14 231
2 180
16 265
7 249
7 285
10 278
32 228
-2 270
24 211
10 221
-3 215
-9 233
13 257
-2 225
-5 184
25 185
28 201
-2 263
26 217
26 251
-8 227
18 258
15 238
7 240
29 205
22 257
9 339
27 186
8 287
19 285
8 251
-10 223
26 231
16 286
-5 195
32 162
4 264
24 238
1 234
35 192
24 248
23 268
22 237
-4 232
-9 238
-9 222
-5 271
-6 239
-5 191
-8 172
12 232
12 346
29 190
31 199
34 202
-9 248
20 212
-5 199
28 211
-8 231
15 230
8 343
-5 227
28 174
19 256
30 143
9 252
11 263
29 184
10 302
3 244
26 244
-4 190
-3 280
-6 165
15 250
29 216
12 239
1 205
29 213
12 259
33 222
2 301
12 224
-8 234
-2 209
34 239
3 246
