"cleared" "peptide_conc" "strain"
1 14.9 "Susceptible"
1 10 "Susceptible"
1 10.8 "Resistant"
0 10.5 "Resistant"
1 15.8 "Resistant"
1 10.6 "Resistant"
1 18.1 "Susceptible"
1 3.4 "Susceptible"
1 13.2 "Susceptible"
0 11.8 "Resistant"
0 9.3 "Susceptible"
1 19.1 "Resistant"
1 13.4 "Susceptible"
0 1.5 "Resistant"
0 9.9 "Resistant"
1 17.3 "Susceptible"
0 7.9 "Resistant"
1 7.9 "Resistant"
1 15.4 "Susceptible"
0 3 "Resistant"
0 7.6 "Resistant"
0 16.5 "Resistant"
0 1.8 "Susceptible"
1 14.6 "Susceptible"
0 7.4 "Resistant"
1 18.4 "Susceptible"
0 15.8 "Resistant"
0 4.8 "Susceptible"
0 17.3 "Susceptible"
0 5.9 "Resistant"
1 9 "Susceptible"
0 3.7 "Resistant"
1 10.1 "Susceptible"
1 11.4 "Resistant"
1 13.6 "Resistant"
0 3.2 "Susceptible"
0 2.8 "Resistant"
0 4.4 "Susceptible"
1 19.9 "Susceptible"
1 18.2 "Resistant"
1 8.7 "Susceptible"
1 18.7 "Susceptible"
0 15.6 "Resistant"
1 16.5 "Susceptible"
0 20 "Resistant"
1 16.5 "Resistant"
0 15.2 "Resistant"
0 3.5 "Resistant"
0 9.6 "Resistant"
1 11.3 "Susceptible"
0 2.8 "Susceptible"
0 15 "Resistant"
0 4.4 "Resistant"
0 3.5 "Resistant"
0 10.9 "Resistant"
1 7.8 "Susceptible"
0 7.7 "Resistant"
0 12.2 "Susceptible"
1 15.5 "Susceptible"
1 12.4 "Resistant"
0 3.9 "Susceptible"
0 15.1 "Resistant"
1 19.3 "Susceptible"
0 5.1 "Susceptible"
0 2.9 "Susceptible"
0 15.6 "Resistant"
1 14.7 "Resistant"
0 7.3 "Resistant"
0 6 "Resistant"
0 4.5 "Resistant"
0 3 "Resistant"
1 19.9 "Resistant"
1 12.6 "Resistant"
1 9.2 "Resistant"
0 2.3 "Resistant"
1 10.4 "Susceptible"
1 16.6 "Susceptible"
0 12.5 "Resistant"
1 16.9 "Resistant"
1 12.2 "Susceptible"
1 18.1 "Susceptible"
0 5.1 "Resistant"
1 18.6 "Resistant"
0 2.6 "Resistant"
0 6.1 "Resistant"
0 7.6 "Susceptible"
0 7.8 "Resistant"
0 4.7 "Resistant"
0 2.2 "Resistant"
0 10.8 "Resistant"
1 17.6 "Resistant"
1 19 "Susceptible"
0 7.3 "Resistant"
1 18.2 "Resistant"
0 11.5 "Susceptible"
0 13.6 "Resistant"
1 16.4 "Resistant"
1 16.1 "Resistant"
1 14.2 "Susceptible"
1 6.1 "Susceptible"
1 13.2 "Resistant"
1 19.3 "Resistant"
0 3.1 "Resistant"
1 16.4 "Susceptible"
1 9.3 "Susceptible"
1 16.3 "Resistant"
1 17.4 "Susceptible"
0 9.2 "Resistant"
0 13.2 "Resistant"
1 18.7 "Susceptible"
0 17.3 "Resistant"
0 3.6 "Susceptible"
1 15 "Resistant"
1 16.3 "Susceptible"
0 4.9 "Susceptible"
0 3.3 "Resistant"
0 5.6 "Resistant"
1 14.6 "Susceptible"
0 10.2 "Resistant"
0 4.2 "Susceptible"
1 14.8 "Susceptible"
0 13.6 "Resistant"
1 15 "Susceptible"
0 11.5 "Resistant"
1 14 "Susceptible"
1 14.6 "Resistant"
1 18.4 "Resistant"
1 18.1 "Susceptible"
0 3.4 "Resistant"
0 14.7 "Resistant"
0 1.1 "Resistant"
0 13.7 "Susceptible"
0 4.5 "Resistant"
1 9.3 "Susceptible"
0 7.6 "Susceptible"
0 12.6 "Resistant"
1 19.2 "Susceptible"
0 3.5 "Susceptible"
0 7.5 "Resistant"
0 14.7 "Susceptible"
0 9.8 "Resistant"
1 18.4 "Resistant"
0 5.3 "Susceptible"
1 19.2 "Susceptible"
0 4.9 "Susceptible"
0 13.9 "Resistant"
0 1.2 "Resistant"
0 7.4 "Susceptible"
0 6.6 "Susceptible"
1 15 "Resistant"
1 17 "Susceptible"
1 17.7 "Susceptible"
0 6.6 "Resistant"
1 17.2 "Susceptible"
1 18.8 "Susceptible"
0 8.7 "Susceptible"
0 5.3 "Susceptible"
0 1.2 "Resistant"
0 5.8 "Resistant"
1 16.9 "Susceptible"
