"mongoose" "weight"
"Absent" 229.9
"Present" 263.8
"Absent" 242.2
"Absent" 264.5
"Present" 255.9
"Absent" 295.1
"Absent" 256
"Present" 273.8
"Absent" 277.7
"Present" 256.2
"Absent" 259.6
"Absent" 279.6
"Absent" 253.6
"Present" 265.9
"Present" 275.9
"Absent" 310.5
"Present" 242.1
"Absent" 273.6
"Present" 272.6
"Present" 279.4
"Present" 278.8
"Present" 304.8
"Absent" 259.9
"Absent" 255.7
"Absent" 258.1
"Present" 245.4
"Absent" 257.4
"Absent" 242.3
"Present" 283.9
"Present" 261.2
"Present" 286
"Present" 265.3
"Present" 297.9
"Absent" 288.2
"Absent" 281.8
"Absent" 274.5
"Present" 298.9
"Absent" 268.4
"Present" 226.1
"Absent" 285.3
"Absent" 380.8
"Absent" 228.6
"Absent" 293.6
"Present" 241.8
"Absent" 276.9
"Present" 267.5
"Present" 269.9
"Present" 259.7
"Absent" 299.4
"Absent" 284.7
"Present" 245.2
"Absent" 271.3
"Present" 241.1
"Present" 285.8
"Absent" 288.3
"Absent" 235.9
